user_id,ethnicity,gender,SATM,SATR,
2241,,,800,740,
2359,1,2,710,,
2973,3,2,580,580,
3022,1,1,750,760,
3063,,2,770,750,
3102,5,2,790,,
3475,2,2,800,800,
3769,2,2,750,740,
4789,,,800,800,
5845,,,800,580,
7128,1,1,540,470,
8617,,1,650,690,
8699,,,790,,
9422,,2,760,,
9629,1,2,780,700,
9761,1,2,780,740,
10158,1,2,760,760,
11689,,,550,500,
12069,1,1,720,,
12965,2,2,,650,
14526,2,1,800,790,
15169,,,610,800,
16085,1,2,700,,
16792,1,2,800,,
17630,3,1,600,730,
17770,,1,800,,
18017,,2,790,,
18111,4,1,630,730,
18272,,1,760,,
18467,2,1,800,750,
22439,2,1,740,,
23266,1,1,720,740,
23517,2,1,590,610,
23880,,,800,680,
24094,2,1,,800,
25152,2,1,780,760,
26171,,1,800,800,
26553,1,1,780,610,
27100,5,1,530,600,
27751,,1,800,760,
27771,1,1,790,,
28846,1,1,770,770,
28926,,1,770,800,
31494,,,760,790,
33099,2,1,710,800,
33677,1,2,690,740,
35111,,1,,560,
36094,,2,630,640,
36614,,,580,730,
36808,,2,750,690,
37259,4,1,550,640,
37268,,1,630,680,
38959,2,2,800,,
40274,,,760,780,
40659,1,1,,800,
40994,1,2,690,690,
41382,,1,790,800,
41582,5,2,770,,
42092,1,1,710,,
43434,1,2,1300,1200,
43994,,1,,750,
44006,1,1,800,,
44138,1,1,680,690,
44642,2,1,740,660,
45179,,1,770,,
46010,,,770,730,
46109,,,800,780,
46452,1,2,800,800,
46513,,,680,750,
47352,1,1,770,,
47433,1,1,740,780,
47975,1,2,510,560,
48229,,,760,800,
48490,,1,690,750,
48667,,1,740,,
48749,2,2,730,,
48854,1,1,710,600,
49058,,2,700,770,
49407,5,2,800,,
49848,2,1,720,730,
50564,,2,800,,
51225,,,730,,
51525,1,1,540,780,
52410,2,2,620,,
52633,1,1,,800,
53481,1,1,770,750,
54006,2,1,770,770,
54088,1,1,590,690,
54349,,,580,750,
54856,,2,800,670,
55282,,1,,780,
55902,,,690,690,
56539,1,2,680,730,
57193,1,2,660,710,
59093,,2,800,,
59346,2,1,710,,
59585,1,2,780,800,
59866,,,750,750,
61675,1,1,770,710,
62825,,1,790,740,
64566,1,2,620,580,
64718,1,1,800,,
65225,5,2,800,800,
66480,1,2,700,720,
67293,1,2,700,700,
73681,,1,550,720,
75114,1,2,640,,
75163,2,2,800,800,
75549,1,2,780,,
76653,1,2,700,730,
77191,2,2,800,800,
77616,1,1,680,770,
78640,2,2,800,650,
79677,,1,,740,
81101,,2,,680,
81454,1,2,760,760,
82874,3,2,,1000,
83149,2,1,670,690,
83189,1,2,800,800,
84266,1,2,780,690,
85467,,,800,,
85853,1,1,750,720,
86086,2,1,770,730,
86210,1,1,710,800,
86489,,1,770,,
87823,4,2,790,710,
88519,,1,800,740,
90264,1,2,,800,
92896,,1,740,780,
94363,3,2,670,,
94408,,,640,680,
94413,2,2,770,780,
96261,1,2,570,680,
98408,,,710,780,
98461,1,2,,790,
98880,1,1,690,730,
99225,,,800,,
99438,1,1,750,770,
99886,,1,740,760,
100647,,,760,,
101213,,,,740,
101891,2,2,800,720,
103211,1,1,700,800,
103299,1,2,740,710,
103579,1,2,800,790,
103736,1,2,790,720,
103852,,1,700,670,
105504,1,1,660,710,
105590,1,1,,660,
105960,1,1,,620,
108065,,2,800,770,
109411,,1,800,680,
111916,3,2,670,,
112068,,1,800,780,
113650,,,680,640,
113906,1,1,740,720,
114271,,,720,730,
114380,,1,480,560,
116859,1,1,690,800,
116920,1,2,760,670,
117335,,2,800,730,
120036,,,750,,
120049,1,1,650,630,
121010,1,1,760,800,
121592,,2,530,560,
123351,1,2,730,,
123906,1,2,780,,
125183,2,1,720,,
127345,1,2,770,,
127732,,2,770,790,
128638,5,1,600,710,
128937,,2,800,,
129154,,1,,690,
130136,1,1,700,750,
131269,1,2,,750,
132505,1,1,658,,
133583,,,630,790,
134409,,,800,740,
135374,,,800,700,
136786,1,1,570,590,
136879,1,2,720,,
136887,1,1,700,760,
137709,,2,580,550,
138190,,1,670,,
138536,,2,800,720,
141760,1,2,720,690,
141920,1,1,800,800,
142243,1,2,,0,
143361,2,1,800,800,
143510,1,2,800,800,
143860,1,1,740,690,
145094,1,2,700,,
146393,1,2,600,760,
146662,1,2,,570,
146782,,1,790,670,
150157,1,2,800,,
150644,,,720,800,
151345,,2,760,800,
151779,2,2,,720,
152467,,,245,590,
153501,,,770,760,
153691,1,2,660,640,
153996,,1,800,790,
154017,,1,680,800,
154389,1,2,670,,
154757,,,760,760,
154892,2,1,740,800,
156684,1,2,650,,
157561,1,1,770,730,
159562,1,1,,800,
160119,4,2,740,770,
162490,1,2,600,,
162672,,1,790,800,
162905,4,2,760,710,
163279,,1,800,740,
163346,4,2,800,,
164217,1,1,,0,
164291,1,2,,800,
164485,1,2,,710,
164889,5,1,720,,
165868,1,2,800,,
166201,2,1,800,,
167603,5,1,790,,
167936,,2,800,800,
167941,1,1,660,580,
169794,,1,750,800,
170056,1,2,800,,
170646,2,2,700,,
170880,2,2,650,630,
172051,1,2,770,,
172337,2,2,720,700,
172478,1,2,800,,
172589,1,2,570,,
173227,1,2,510,690,
174662,,,640,720,
175062,,,750,800,
175297,1,2,,800,
175666,,,730,,
176639,1,2,790,760,
176878,1,1,680,670,
177066,1,2,740,620,
177262,1,2,570,630,
177755,,,730,720,
180106,5,1,800,740,
180759,,,730,690,
182098,1,2,650,650,
182112,2,2,750,730,
184069,1,2,700,650,
185196,1,2,700,750,
187545,2,2,800,720,
188405,,,700,,
189672,1,2,760,,
192026,1,2,780,,
192154,,2,790,800,
192198,1,2,730,620,
192890,2,2,750,730,
193568,2,1,800,800,
193902,1,2,640,630,
194247,1,2,740,650,
195062,1,2,800,750,
195452,,2,720,620,
195516,1,1,800,800,
197217,5,2,800,,
197558,1,1,800,800,
198832,,,720,740,
200126,1,1,710,800,
202011,,,750,,
202318,,,800,,
202465,1,1,630,,
203713,2,2,690,640,
204374,1,1,720,670,
205271,2,2,800,710,
207929,3,1,480,,
209916,,2,760,780,
210152,,,720,800,
211589,,,100000,,
211614,,,780,,
212516,,,800,,
213330,2,2,780,,
213601,,,690,700,
216693,1,1,680,,
218625,1,1,760,760,
218766,,1,590,690,
222136,,1,750,740,
223210,4,2,1500,,
223685,1,2,790,760,
223738,,,800,760,
224060,1,2,770,800,
224431,,,780,770,
226440,2,1,630,740,
227207,1,2,800,690,
228329,2,2,710,,
228584,1,1,590,600,
228885,3,1,490,580,
229657,1,1,720,800,
230884,,2,770,700,
231137,2,2,800,780,
231428,,1,640,650,
232410,3,2,89,,
233625,4,2,450,,
233859,1,1,670,,
233978,1,2,720,740,
234514,1,2,680,780,
234525,1,2,770,,
235663,,2,690,740,
236204,1,1,720,800,
236250,,,760,680,
236642,2,1,800,,
237367,2,2,800,800,
237943,3,2,800,800,
239769,3,1,720,760,
240285,1,1,670,750,
240387,,2,770,620,
240602,1,2,,800,
241789,1,1,610,630,
241861,,1,780,,
241917,,,790,,
242226,,1,770,730,
242614,1,2,1300000,,
243379,4,2,750,710,
243834,1,2,,630,
244172,2,2,790,,
244585,2,2,800,,
244937,2,1,800,,
245003,,1,,680,
245038,1,1,,630,
246458,4,1,680,630,
247508,1,2,710,610,
247957,1,2,790,,
249782,1,1,600,,
250458,2,2,800,,
250478,,2,720,,
250817,,1,710,800,
251235,1,1,780,800,
251587,3,2,610,580,
251777,3,2,85,,
252146,1,2,790,800,
252637,1,1,790,800,
254788,1,2,580,,
254903,1,2,690,600,
255724,2,1,630,580,
255812,,2,560,710,
255813,1,2,640,610,
256436,4,2,800,760,
259416,,1,,800,
262454,5,1,800,,
262479,4,2,680,,
263284,2,1,780,700,
263867,,2,670,600,
264181,,2,760,650,
264600,1,1,800,710,
264752,,,,800,
264899,1,1,800,,
266512,1,1,800,690,
266632,1,1,,720,
266946,,2,,780,
269605,1,2,720,680,
269896,,1,680,680,
270187,,,790,750,
270297,,1,800,710,
270494,1,2,750,720,
270519,1,1,760,640,
270694,,2,800,780,
272228,1,1,680,800,
272656,1,2,,670,
273225,,,700,,
273512,4,2,690,750,
275039,,2,720,680,
275513,1,2,800,,
276289,1,1,720,800,
278535,2,2,800,750,
278547,2,2,740,,
278793,5,1,770,800,
279210,3,2,450,450,
279470,4,2,690,,
279996,1,1,750,800,
281129,1,2,800,800,
281303,4,2,700,740,
282263,,,800,790,
283358,1,2,720,680,
284505,2,2,790,770,
285093,,,670,610,
286006,1,2,680,730,
286675,,2,750,700,
286709,1,2,650,610,
286885,,,620,540,
287397,2,2,,610,
287629,1,1,600,680,
288383,1,2,800,,
288732,4,1,800,800,
288915,1,,800,,
289769,1,1,790,800,
290014,,2,730,760,
291036,1,2,750,800,
291257,1,2,650,,
292105,1,1,500,450,
293067,2,1,800,730,
293126,1,1,740,670,
293358,,,590,760,
296287,,,680,730,
296578,2,2,700,580,
297137,,,800,,
297893,1,2,700,580,
299092,1,2,,700,
301011,4,1,650,680,
303455,,,790,750,
303914,2,2,800,,
304119,4,2,790,750,
305114,,,690,740,
305219,,,710,710,
306156,1,1,690,660,
308790,2,1,800,,
309403,,,800,770,
310495,,,780,,
310636,1,2,720,,
311446,1,1,0,,
313009,2,2,99,,
313364,3,2,510,500,
313414,1,1,790,740,
313425,1,1,750,800,
313981,,2,650,670,
314190,1,,800,660,
314363,1,2,770,,
314752,2,2,800,720,
315615,1,1,,800,
315901,1,2,720,800,
315915,,2,800,,
316862,2,1,780,720,
318406,1,2,610,700,
318791,1,2,790,760,
318830,2,1,790,,
319942,1,2,780,680,
322118,,,,800,
322305,2,1,700,710,
322812,,2,800,680,
324099,3,2,680,680,
324138,1,1,740,680,
327009,,1,800,760,
327125,1,2,800,,
327803,,,660,,
327885,1,2,,4,
329658,1,2,650,670,
331167,,,770,780,
331701,2,2,800,,
331934,1,2,800,,
333755,,2,720,710,
334008,,,,800,
334901,1,2,780,,
335988,,2,770,,
336743,,2,780,760,
337049,,,800,740,
337271,,2,800,790,
337305,,,760,660,
339243,,1,740,800,
339409,2,2,,97,
340014,,,740,750,
340406,2,2,790,770,
341382,1,1,670,730,
341400,1,2,800,,
342389,2,1,710,,
344636,1,2,800,800,
345092,1,2,590,600,
346094,,2,620,680,
346692,1,1,500,630,
346956,3,2,630,,
348840,1,2,780,680,
349340,,,750,800,
350460,1,1,650,590,
353346,5,1,310,510,
354011,1,1,560,480,
356232,1,2,780,690,
356779,2,2,800,740,
357481,,1,600,640,
358215,,1,630,800,
358515,3,1,480,480,
358832,1,1,780,670,
359045,1,2,610,650,
359448,1,2,790,730,
360494,4,1,630,730,
360700,1,2,650,660,
362084,1,2,610,740,
364463,,,,650,
364558,1,1,580,670,
364936,1,1,740,790,
368839,,1,720,630,
369004,,,800,560,
369852,2,1,740,800,
369952,5,1,770,770,
371367,,1,510,500,
371489,,2,,800,
371524,2,1,780,,
372036,2,1,770,,
373511,2,,770,800,
373571,,,690,750,
374420,,2,120,,
374688,,,740,720,
375155,1,1,510,630,
375274,1,2,720,770,
376403,1,2,700,,
376467,4,2,800,,
376885,,1,780,640,
377319,2,1,800,,
379030,2,2,790,,
379765,4,1,620,680,
381775,1,2,760,800,
383021,,1,610,710,
385638,1,2,,800,
386339,,1,760,340,
386615,1,1,720,750,
386965,,2,770,720,
387261,,,770,780,
388056,,,700,,
388175,2,2,800,690,
388225,1,1,690,720,
388919,2,2,800,800,
389611,2,2,740,,
389958,2,2,710,710,
392844,2,1,800,800,
394600,2,2,690,681,
394871,4,2,680,620,
399358,,1,800,790,
399664,,2,800,660,
400282,1,2,760,,
400490,1,2,790,700,
403429,1,2,710,690,
403947,,,690,790,
404111,1,1,720,680,
405001,,1,520,,
405874,1,1,710,,
407991,2,1,800,800,
408412,,,760,800,
409000,,1,740,,
409656,1,1,800,780,
409851,1,2,640,630,
410448,,1,,750,
410474,1,2,690,680,
411002,1,1,570,690,
412921,,1,750,790,
413693,,1,770,800,
414288,,,740,600,
415437,2,2,780,740,
415976,2,1,770,660,
417411,,,660,740,
418263,1,1,500,560,
418311,2,2,,750,
418421,1,1,690,720,
420275,5,2,790,760,
420802,1,1,,740,
421183,2,2,800,690,
421202,,2,812,760,
423841,1,2,780,790,
424336,,1,690,710,
424794,,,720,,
424806,1,2,530,590,
426268,1,2,720,800,
426741,,,630,780,
427733,5,1,680,720,
428423,,1,710,800,
430213,1,2,700,800,
430306,1,2,720,,
430510,2,2,800,800,
431226,,1,710,750,
431698,1,2,610,510,
432007,5,1,670,,
432454,,2,780,800,
433146,3,2,770,,
433222,2,1,800,790,
433270,1,1,700,720,
434988,,,780,720,
435705,1,2,770,670,
435848,1,2,700,800,
435950,,,700,800,
436292,,,600,800,
436347,1,2,730,,
437750,,,700,780,
440436,5,1,520,,
441545,1,2,500,,
441650,,2,720,750,
441985,,,800,,
442108,2,1,710,680,
442475,1,1,370,380,
443765,2,1,800,800,
444424,1,1,,600,
445091,5,1,610,690,
445423,2,1,,,
446930,1,2,720,670,
447569,,,620,800,
449228,1,1,670,690,
452203,,,,750,
452496,1,2,780,750,
453349,1,1,,800,
454013,1,2,650,750,
454044,,,800,,
454220,4,2,770,720,
455111,2,1,790,800,
455245,,,710,800,
455526,2,2,800,720,
456210,1,2,700,,
456700,,2,770,690,
456853,,,780,800,
459615,,,770,760,
460005,1,2,770,,
460375,2,1,740,770,
461199,,2,,,
461228,,,800,,
461276,,,800,740,
461672,3,1,600,680,
461746,1,1,610,,
463042,1,2,630,650,
463483,1,2,780,,
463919,,,720,,
466758,1,2,650,660,
467682,2,2,740,700,
468037,1,2,,630,
472887,5,1,770,,
473138,4,2,710,800,
473877,3,1,440,,
474578,,,780,770,
475241,1,1,,500,
475853,1,1,740,760,
476238,2,2,720,660,
477182,2,2,790,,
477467,2,2,740,760,
477610,1,2,,610,
479278,,,800,780,
479984,1,1,680,710,
481253,,2,670,640,
481768,1,2,800,710,
485358,1,1,,720,
487471,,2,760,800,
487557,1,1,750,800,
490514,1,2,800,,
491115,1,2,690,800,
492457,1,2,720,800,
492466,2,2,780,790,
492692,2,2,770,750,
493316,,,800,,
493638,2,2,780,800,
493646,1,1,790,,
494611,,,750,680,
495279,,,600,600,
496607,1,2,760,720,
497046,1,1,800,,
497663,1,1,,790,
